benchmark	measure	model	layer	spearman	spearmanp	permutation_test	permutation_testp
dwug_sv12	app+jsd	bert	8	-0.0	0.998	-0.0	0.99
dwug_sv12	app+apdp	bert	8	0.071	0.647	0.071	0.554
dwug_sv12	apd	bert	9	0.25	0.102	0.25	0.04
dwug_sv12	prt	bert	9	0.201	0.192	0.201	0.178
dwug_sv12	ap+jsd	bert	9	0.054	0.727	0.054	0.614
dwug_sv12	ap+apdp	bert	9	0.262	0.086	0.262	0.079
dwug_sv12	app+jsd	bert	9	0.052	0.737	0.052	0.792
dwug_sv12	app+apdp	bert	9	0.184	0.232	0.184	0.297
dwug_sv12	apd	bert	10	0.275	0.07	0.275	0.02
dwug_sv12	prt	bert	10	0.193	0.21	0.193	0.356
dwug_sv12	ap+jsd	bert	10	-0.023	0.881	-0.023	0.95
dwug_sv12	ap+apdp	bert	10	0.274	0.072	0.274	0.02
dwug_sv12	app+jsd	bert	10	0.355	0.018	0.355	0.04
dwug_sv12	app+apdp	bert	10	0.145	0.349	0.145	0.416
dwug_sv12	apd	bert	11	0.267	0.08	0.267	0.139
dwug_sv12	prt	bert	11	0.169	0.272	0.169	0.436
dwug_sv12	ap+jsd	bert	11	-0.057	0.714	-0.057	0.634
dwug_sv12	ap+apdp	bert	11	0.234	0.126	0.234	0.198
dwug_sv12	app+jsd	bert	11	-0.031	0.843	-0.031	0.99
dwug_sv12	app+apdp	bert	11	0.172	0.264	0.172	0.277
dwug_sv12	apd	bert	12	0.27	0.076	0.27	0.099
dwug_sv12	prt	bert	12	0.158	0.304	0.158	0.337
dwug_sv12	ap+jsd	bert	12	-0.09	0.563	-0.09	0.653
dwug_sv12	ap+apdp	bert	12	0.207	0.177	0.207	0.158
dwug_sv12	app+jsd	bert	12	-0.199	0.195	-0.199	0.198
dwug_sv12	app+apdp	bert	12	0.106	0.495	0.106	0.535
dwug_sv12	apd	mbert	1	0.132	0.395	0.132	0.416
dwug_sv12	prt	mbert	1	0.001	0.993	0.001	0.99
dwug_sv12	ap+jsd	mbert	1	-0.021	0.894	-0.021	0.911
dwug_sv12	ap+apdp	mbert	1	0.111	0.474	0.111	0.475
dwug_sv12	app+jsd	mbert	1	-0.28	0.065	-0.28	0.059
dwug_sv12	app+apdp	mbert	1	0.052	0.739	0.052	0.673
dwug_sv12	apd	mbert	2	0.129	0.404	0.129	0.416
dwug_sv12	prt	mbert	2	0.006	0.968	0.006	0.871
dwug_sv12	ap+jsd	mbert	2	-0.141	0.363	-0.141	0.238
dwug_sv12	ap+apdp	mbert	2	0.137	0.376	0.137	0.337
dwug_sv12	app+jsd	mbert	2	-0.083	0.592	-0.083	0.614
dwug_sv12	app+apdp	mbert	2	0.015	0.922	0.015	0.95
dwug_sv12	apd	mbert	3	0.189	0.22	0.189	0.257
dwug_sv12	prt	mbert	3	0.012	0.941	0.012	0.772
dwug_sv12	ap+jsd	mbert	3	-0.117	0.45	-0.117	0.436
dwug_sv12	ap+apdp	mbert	3	0.2	0.193	0.2	0.158
dwug_sv12	app+jsd	mbert	3	-0.179	0.244	-0.179	0.337
dwug_sv12	app+apdp	mbert	3	0.029	0.854	0.029	0.792
dwug_sv12	apd	mbert	4	0.254	0.096	0.254	0.119
dwug_sv12	prt	mbert	4	0.017	0.915	0.017	0.99
dwug_sv12	ap+jsd	mbert	4	-0.131	0.395	-0.131	0.376
dwug_sv12	ap+apdp	mbert	4	0.17	0.27	0.17	0.277
dwug_sv12	app+jsd	mbert	4	-0.174	0.26	-0.174	0.158
dwug_sv12	app+apdp	mbert	4	-0.13	0.401	-0.13	0.337
dwug_sv12	apd	mbert	5	0.321	0.034	0.321	0.04
dwug_sv12	prt	mbert	5	0.06	0.698	0.06	0.812
